epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,20328.8,1.05001,0.84587,1.33215,0.81188,0.73304,0.82656,0.57185,1.13257,0.88709,1.49935,0.00839125,0.00839125,0.00839125
67,20365.8,1.05819,0.83842,1.32637,0.81623,0.71011,0.82335,0.55124,1.14296,0.87497,1.49029,0.0083665,0.0083665,0.0083665
68,20403.3,1.06722,0.85518,1.33641,0.79002,0.77101,0.83107,0.54774,1.17431,0.86295,1.50755,0.00834175,0.00834175,0.00834175
69,20440.3,1.05289,0.82093,1.3324,0.86743,0.71495,0.82458,0.56012,1.16148,0.8794,1.52563,0.008317,0.008317,0.008317
70,20477.5,1.05076,0.84046,1.33517,0.79435,0.71882,0.80896,0.54698,1.14728,0.9234,1.49598,0.00829225,0.00829225,0.00829225
71,20514.8,1.04065,0.83763,1.32176,0.80178,0.72034,0.81273,0.53991,1.15804,0.90887,1.51732,0.0082675,0.0082675,0.0082675
72,20552,1.06484,0.83822,1.33817,0.84986,0.727,0.8394,0.57027,1.15039,0.84292,1.49557,0.00824275,0.00824275,0.00824275
73,20589.2,1.04178,0.8185,1.32013,0.82483,0.7386,0.83498,0.5583,1.14024,0.83607,1.49552,0.008218,0.008218,0.008218
74,20626.4,1.03406,0.80597,1.31072,0.87131,0.73985,0.83858,0.5708,1.12979,0.81864,1.48528,0.00819325,0.00819325,0.00819325
75,20663.3,1.04777,0.82007,1.33034,0.79868,0.74238,0.81494,0.55554,1.14172,0.85883,1.49418,0.0081685,0.0081685,0.0081685
76,20700.7,1.04465,0.82422,1.3203,0.80447,0.75433,0.83027,0.56171,1.15674,0.85143,1.49221,0.00814375,0.00814375,0.00814375
77,20737.9,1.03991,0.80031,1.31989,0.84254,0.70441,0.83126,0.5653,1.11536,0.8837,1.4869,0.008119,0.008119,0.008119
78,20775.3,1.0356,0.79611,1.30852,0.84267,0.73184,0.8426,0.56779,1.10965,0.84229,1.45679,0.00809425,0.00809425,0.00809425
79,20812.5,1.03174,0.78315,1.31279,0.81404,0.76406,0.8344,0.56953,1.13633,0.84632,1.49903,0.0080695,0.0080695,0.0080695
80,20849.6,1.03458,0.80007,1.31384,0.81651,0.7282,0.83036,0.56544,1.11453,0.84131,1.47003,0.00804475,0.00804475,0.00804475
81,20886.9,1.03065,0.78492,1.29984,0.77634,0.76031,0.8276,0.55748,1.14649,0.82368,1.50073,0.00802,0.00802,0.00802
82,20924.1,1.03309,0.7894,1.31377,0.83944,0.74622,0.83565,0.56782,1.12604,0.82529,1.4708,0.00799525,0.00799525,0.00799525
83,20961.2,1.02329,0.76701,1.30331,0.85764,0.72238,0.83804,0.5786,1.15216,0.80615,1.50622,0.0079705,0.0079705,0.0079705
84,20998.7,1.02342,0.78834,1.30463,0.84139,0.74703,0.84341,0.57831,1.11528,0.81558,1.47782,0.00794575,0.00794575,0.00794575
85,21035.8,1.01805,0.77933,1.29852,0.80389,0.74337,0.8279,0.55881,1.16104,0.84461,1.51088,0.007921,0.007921,0.007921
86,21072.9,1.00822,0.7662,1.29397,0.81863,0.76091,0.83845,0.57362,1.13325,0.839,1.46987,0.00789625,0.00789625,0.00789625
87,21110.1,1.01017,0.75876,1.28891,0.84614,0.79265,0.87416,0.58899,1.12763,0.78032,1.45915,0.0078715,0.0078715,0.0078715
88,21147,1.00415,0.74211,1.29652,0.81171,0.77004,0.84439,0.5801,1.08625,0.80231,1.45083,0.00784675,0.00784675,0.00784675
89,21184.4,1.01973,0.7845,1.30686,0.84131,0.77431,0.84751,0.57098,1.14932,0.80436,1.50767,0.007822,0.007822,0.007822
90,21221.5,1.00903,0.74911,1.28991,0.81239,0.78818,0.84541,0.57692,1.12992,0.8264,1.48842,0.00779725,0.00779725,0.00779725
91,21258.8,1.00534,0.75548,1.30075,0.81205,0.74951,0.8253,0.55925,1.12701,0.84993,1.50742,0.0077725,0.0077725,0.0077725
92,21296.2,0.99821,0.74913,1.28703,0.83827,0.75088,0.84673,0.58549,1.08783,0.80521,1.43932,0.00774775,0.00774775,0.00774775
93,21333.3,1.01199,0.76145,1.29636,0.83828,0.74286,0.82937,0.57537,1.1205,0.83447,1.46633,0.007723,0.007723,0.007723
94,21370.5,0.98473,0.71849,1.27487,0.85979,0.77668,0.86131,0.58397,1.14453,0.77799,1.4822,0.00769825,0.00769825,0.00769825
95,21407.6,1.00324,0.74061,1.28591,0.82032,0.77341,0.8579,0.57524,1.17108,0.81144,1.50184,0.0076735,0.0076735,0.0076735
96,21444.7,0.99934,0.74057,1.28707,0.83721,0.73116,0.8246,0.56955,1.1123,0.86619,1.45234,0.00764875,0.00764875,0.00764875
97,21482.4,1.00352,0.74966,1.285,0.82894,0.76816,0.84183,0.56986,1.14083,0.83107,1.48098,0.007624,0.007624,0.007624
98,21519.7,0.99723,0.71891,1.28032,0.81617,0.76635,0.84967,0.5775,1.11832,0.79657,1.48054,0.00759925,0.00759925,0.00759925
99,21557.1,0.99858,0.72369,1.28752,0.80624,0.7612,0.83693,0.56448,1.15186,0.84148,1.5024,0.0075745,0.0075745,0.0075745
100,21594.4,0.99724,0.73374,1.28278,0.81698,0.80052,0.85365,0.58418,1.12502,0.77998,1.47383,0.00754975,0.00754975,0.00754975
101,21631.3,0.9836,0.71714,1.28179,0.80666,0.75288,0.84017,0.5816,1.08256,0.82133,1.43562,0.007525,0.007525,0.007525
102,21668.5,0.9854,0.70709,1.27682,0.86091,0.73221,0.83451,0.56937,1.14671,0.84797,1.49383,0.00750025,0.00750025,0.00750025
103,21705.7,0.9974,0.73201,1.28172,0.85749,0.7635,0.84903,0.58279,1.08423,0.77683,1.44317,0.0074755,0.0074755,0.0074755
104,21743,0.97982,0.73276,1.27678,0.88857,0.73946,0.85657,0.58875,1.11803,0.77566,1.47723,0.00745075,0.00745075,0.00745075
105,21780.1,0.97481,0.70624,1.2758,0.86689,0.77094,0.85616,0.593,1.11025,0.79577,1.46794,0.007426,0.007426,0.007426
106,21817.3,0.96743,0.71349,1.25577,0.80235,0.80164,0.85269,0.5868,1.09815,0.7694,1.45127,0.00740125,0.00740125,0.00740125
107,21854.5,0.97087,0.71731,1.26806,0.85568,0.78394,0.8743,0.59713,1.106,0.75256,1.43848,0.0073765,0.0073765,0.0073765
108,21891.8,0.96437,0.69779,1.26606,0.80491,0.77894,0.84223,0.57575,1.12623,0.8208,1.48592,0.00735175,0.00735175,0.00735175
109,21928.8,0.96239,0.68794,1.26421,0.8443,0.74276,0.83507,0.57971,1.13648,0.86366,1.47997,0.007327,0.007327,0.007327
110,21966.1,0.96828,0.6842,1.25745,0.85104,0.77583,0.85579,0.60341,1.09758,0.77041,1.44958,0.00730225,0.00730225,0.00730225
111,22003.1,0.96199,0.69383,1.25638,0.83269,0.74287,0.84233,0.57725,1.13013,0.81072,1.46742,0.0072775,0.0072775,0.0072775
112,22040.2,0.97233,0.70809,1.27055,0.86584,0.76523,0.85887,0.58985,1.11344,0.77081,1.46138,0.00725275,0.00725275,0.00725275
113,22077.4,0.97209,0.68929,1.2669,0.79229,0.78973,0.84717,0.58611,1.0974,0.8038,1.44843,0.007228,0.007228,0.007228
114,22114.3,0.9672,0.68595,1.26007,0.79821,0.75474,0.84394,0.58868,1.07698,0.82493,1.42723,0.00720325,0.00720325,0.00720325
115,22151.6,0.95197,0.67864,1.25059,0.84272,0.77004,0.85635,0.59274,1.10785,0.77181,1.44794,0.0071785,0.0071785,0.0071785
116,22188.9,0.94533,0.68535,1.24681,0.82367,0.76835,0.83999,0.57511,1.14096,0.84945,1.48771,0.00715375,0.00715375,0.00715375
117,22226.2,0.94268,0.66817,1.25027,0.8626,0.77812,0.85784,0.58918,1.10696,0.76385,1.44807,0.007129,0.007129,0.007129
118,22263.6,0.95045,0.66729,1.25072,0.84698,0.78547,0.87402,0.59613,1.12114,0.76296,1.46336,0.00710425,0.00710425,0.00710425
119,22300.7,0.94989,0.67586,1.25059,0.86312,0.78717,0.87002,0.60754,1.10885,0.74731,1.46413,0.0070795,0.0070795,0.0070795
120,22337.7,0.95581,0.68208,1.26142,0.85526,0.76126,0.8491,0.58679,1.12948,0.77703,1.47415,0.00705475,0.00705475,0.00705475
121,22375.2,0.95868,0.67169,1.2541,0.85888,0.77736,0.8546,0.58783,1.11509,0.79213,1.4675,0.00703,0.00703,0.00703
122,22412.1,0.93118,0.65801,1.24137,0.87313,0.75775,0.86961,0.60158,1.1178,0.76328,1.44438,0.00700525,0.00700525,0.00700525
123,22449.6,0.94017,0.65001,1.24912,0.83224,0.77153,0.85938,0.59594,1.09928,0.78214,1.44704,0.0069805,0.0069805,0.0069805
